Gender,Experience_Years,Education,Skill_Score,Hired
Male,3,Bachelors,90,1
Male,2,PhD,88,0
Male,5,PhD,50,0
Female,6,Masters,52,0
Female,7,PhD,62,0
Female,4,Bachelors,77,0
Male,7,Masters,98,1
Female,8,Bachelors,74,1
Female,1,Bachelors,82,0
Male,6,Masters,87,1
Male,8,Bachelors,55,0
Female,5,PhD,93,1
Female,4,Bachelors,94,1
Male,2,Masters,81,0
Female,6,Masters,94,1
Female,6,Masters,96,1
Male,1,Bachelors,70,0
Female,9,Masters,65,1
Male,6,Masters,70,0
Male,3,Bachelors,60,0
Female,4,PhD,86,1
Male,4,Bachelors,85,1
Female,3,Masters,84,0
Male,3,Masters,68,0
Male,3,Bachelors,69,0
Male,4,PhD,67,0
Male,7,Masters,96,1
Male,4,Masters,90,1
Female,9,Masters,98,1
Female,1,Bachelors,63,0
Male,8,Masters,64,1
Male,7,PhD,80,1
Male,2,Masters,50,0
Male,8,Masters,52,0
Female,1,PhD,65,0
Female,9,Masters,72,1
Female,9,Bachelors,60,1
Female,2,Bachelors,61,0
Female,7,Bachelors,59,0
Male,3,PhD,81,0
Male,7,Masters,65,0
Female,9,Bachelors,57,1
Male,4,PhD,87,1
Male,1,Masters,61,0
Female,2,PhD,73,0
Female,1,Bachelors,77,0
Male,5,Bachelors,57,0
Male,5,Bachelors,77,1
Female,7,PhD,85,1
Male,9,PhD,75,1
Female,9,Bachelors,57,1
Female,3,PhD,99,1
Male,3,Bachelors,77,0
Female,3,Bachelors,77,0
Female,4,Masters,86,1
Male,8,PhD,90,1
Female,6,Bachelors,85,1
Male,8,Bachelors,76,1
Female,1,PhD,66,0
Male,8,Masters,58,0
Female,4,Masters,82,1
