Gender,Experience_Years,Education,Skill_Score,Hired
Male,3,Bachelors,90,1
Male,2,PhD,88,0
Male,5,PhD,50,0
Female,6,Masters,52,0
Female,7,PhD,62,0
Female,4,Bachelors,77,0
Male,7,Masters,98,1
Female,8,Bachelors,74,1
Female,1,Bachelors,82,0
Male,6,Masters,87,1
Male,8,Bachelors,55,0
Female,5,PhD,93,1
Female,4,Bachelors,94,1
Male,2,Masters,81,0
Female,6,Masters,94,1
Female,6,Masters,96,1
Male,1,Bachelors,70,0
Female,9,Masters,65,1
Male,6,Masters,70,0
Male,3,Bachelors,60,0
Female,4,PhD,86,1
Male,4,Bachelors,85,1
Female,3,Masters,84,0
Male,3,Masters,68,0
Male,3,Bachelors,69,0
Male,4,PhD,67,0
Male,7,Masters,96,1
Male,4,Masters,90,1
Female,9,Masters,98,1
Female,1,Bachelors,63,0
Male,8,Masters,64,1
Male,7,PhD,80,1
Male,2,Masters,50,0
Male,8,Masters,52,0
Female,1,PhD,65,0
Female,9,Masters,72,1
Female,9,Bachelors,60,1
Female,2,Bachelors,61,0
Female,7,Bachelors,59,0
Male,3,PhD,81,0
Male,7,Masters,65,0
Female,9,Bachelors,57,1
Male,4,PhD,87,1
Male,1,Masters,61,0
Female,2,PhD,73,0
Female,1,Bachelors,77,0
Male,5,Bachelors,57,0
Male,5,Bachelors,77,1
Female,7,PhD,85,1
Male,9,PhD,75,1
Female,9,Bachelors,57,1
Female,3,PhD,99,1
Male,3,Bachelors,77,0
Female,3,Bachelors,77,0
Female,4,Masters,86,1
Male,8,PhD,90,1
Female,6,Bachelors,85,1
Male,8,Bachelors,76,1
Female,1,PhD,66,0
Male,8,Masters,58,0
Female,4,Masters,82,1
Male,1,Bachelors,69,0
Male,8,PhD,62,1
Male,4,Masters,77,0
Male,6,PhD,97,1
Female,8,PhD,78,1
Male,4,Bachelors,62,0
Female,3,Masters,95,1
Male,9,Bachelors,84,1
Female,3,Masters,55,0
Male,9,Masters,67,1
Female,2,Masters,54,0
Female,2,Masters,96,1
Male,2,Masters,74,0
Female,6,PhD,51,0
Female,3,Bachelors,59,0
Male,9,PhD,79,1
Female,4,Masters,99,1
Female,1,Bachelors,94,0
Female,4,Masters,54,0
Male,1,Bachelors,82,0
Male,5,PhD,50,0
Male,4,Bachelors,67,0
Female,8,Bachelors,81,1
Female,8,Bachelors,96,1
Male,7,Bachelors,98,1
Female,3,Bachelors,60,0
Male,1,Masters,70,0
Female,1,Bachelors,75,0
Male,3,Bachelors,74,0
Male,6,PhD,71,1
Female,7,Bachelors,76,1
Female,6,PhD,98,1
Male,6,Masters,62,0
Male,6,Bachelors,82,1
Female,3,PhD,83,0
Female,6,PhD,90,1
Male,8,Masters,84,1
Male,2,Bachelors,50,0
Female,5,Bachelors,70,0
Male,1,PhD,97,1
Male,1,Bachelors,55,0
Female,5,PhD,77,1
Female,3,Bachelors,66,0
Female,4,PhD,54,0
Female,3,Bachelors,80,0
Male,1,Masters,54,0
Male,1,Bachelors,87,0
Female,5,Bachelors,52,0
Female,6,Masters,72,1
Female,3,Bachelors,86,1
Male,9,Masters,86,1
Female,5,Bachelors,59,0
Female,8,PhD,59,0
Male,1,PhD,68,0
Female,5,Bachelors,66,0
Male,3,Bachelors,70,0
Male,1,Bachelors,63,0
Female,4,PhD,58,0
Male,5,Bachelors,95,1
Male,7,PhD,50,0
Female,1,Masters,94,0
Female,3,PhD,62,0
Female,2,PhD,53,0
Male,9,Masters,50,0
Male,6,PhD,98,1
Female,3,Bachelors,89,1
Female,8,Bachelors,81,1
Male,8,PhD,83,1
Male,2,Bachelors,77,0
Female,6,PhD,80,1
Male,7,Bachelors,57,0
Male,2,Bachelors,88,0
Female,2,PhD,75,0
Male,1,Bachelors,83,0
Female,8,PhD,52,0
Male,1,Bachelors,99,1
Female,9,Bachelors,61,1
Male,6,Masters,50,0
Female,7,Masters,93,1
Female,7,PhD,54,0
Female,3,Masters,79,0
Female,2,PhD,79,0
Male,9,Masters,66,1
Male,8,Bachelors,97,1
Male,7,PhD,96,1
Male,9,PhD,72,1
Female,4,Bachelors,64,0
Male,4,PhD,86,1
Male,1,PhD,70,0
Female,8,Masters,63,1
Female,3,PhD,51,0
Male,7,Bachelors,60,0
Male,2,Masters,88,0
Male,2,Masters,87,0
Male,7,Bachelors,83,1
Female,6,Bachelors,87,1
Female,3,Masters,99,1
Male,9,PhD,83,1
Male,6,Masters,67,0
Female,6,Bachelors,79,1
Female,1,Masters,64,0
Female,4,Bachelors,76,0
Female,6,Masters,83,1
Male,6,PhD,87,1
Male,5,Masters,82,1
Female,1,Masters,73,0
Male,8,Bachelors,64,1
Female,5,Bachelors,79,1
Male,5,Bachelors,91,1
Male,7,Masters,66,1
Male,4,PhD,54,0
Male,6,Bachelors,78,1
Male,4,Bachelors,53,0
Female,3,Masters,59,0
Female,7,Bachelors,66,1
Female,8,PhD,59,0
Male,4,PhD,66,0
Female,2,Bachelors,69,0
Female,3,Bachelors,73,0
Male,1,Masters,54,0
Male,8,PhD,83,1
Female,3,PhD,55,0
Female,7,Bachelors,51,0
Female,5,Masters,62,0
Female,5,PhD,92,1
Male,7,PhD,92,1
Female,9,Masters,97,1
Male,5,Masters,60,0
Male,1,PhD,96,1
Female,1,PhD,72,0
Female,2,Masters,65,0
Male,6,PhD,80,1
Female,9,Bachelors,60,1
Male,8,Bachelors,65,1
Female,5,Masters,57,0
Male,1,Masters,53,0
Male,7,Masters,89,1
Female,5,Bachelors,53,0
Female,6,PhD,74,1
